"SITE","EventStartSampleTime","EventEndSampleTime","AverageIndex","StormEventIndex","StormEventDurationHours","exceptional","acceptable","unacceptable","LATITUDE","LONGITUDE","COUNTY"
"SR-131 @ MP 0.5 PORTER ROCKWELL BRIDGE",2024-02-09 10:50:00,2024-02-09 14:30:00,0.37,1.36,3.67,47.83,47.83,4.35,40.46363,-111.9345,"Salt Lake"
"SR-14 SUMMIT",NA,NA,0,0,0,100,0,0,37.568,-112.85,"Iron"
"SR-153 NEAR PUFFER LAKE",NA,NA,0,0,0,100,0,0,38.321,-112.373,"Beaver"
"SR-154 @ MP 21 2100 S",NA,NA,0,0,0,100,0,0,40.72275,-111.9866,"Salt Lake"
"SR-154 @ MP 7 RIVERTON",2024-02-09 02:50:00,2024-02-09 11:50:00,0.1,0.89,9,16.36,69.09,14.55,40.5215,-111.98343,"Salt Lake"
"SR-158 @ POWDER MOUNTAIN",NA,NA,0,0,0,100,0,0,41.37884,-111.7841,"Weber"
"SR-167 @ TRAPPERS LOOP",NA,NA,0,0,0,100,0,0,41.2058,-111.8166,"Weber"
"SR-177 @ MP 14.5 SYRACUSE",NA,NA,0,0,0,100,0,0,41.0974,-112.0853,"Davis"
"SR-177 @ MP 5 KAYSVILLE",NA,NA,0,0,0,100,0,0,41.0085,-111.9593,"Davis"
"SR-186 FOOTHILL DR. @ MARIO CAPECCHI DR.",2024-02-09 07:00:00,2024-02-09 15:00:00,0.26,2.08,8,20.41,77.55,2.04,40.75757,-111.83607,"Salt Lake"
"SR-190 @ CARDIFF",NA,NA,0,0,0,100,0,0,40.6503,-111.6499,"Salt Lake"
"SR-190 @ TORPEDO HILL",NA,NA,0,0,0,100,0,0,40.623,-111.75,"Salt Lake"
"SR-196 @ MP 2 DUGWAY",2024-02-09 11:00:00,2024-02-09 14:20:00,0.21,0.71,3.33,38.1,61.9,0,40.2517,-112.7346,"Tooele"
"SR-199 @ JOHNSON'S PASS",NA,NA,0,0,0,100,0,0,40.337,-112.7346,"Tooele"
"SR-20",NA,NA,0,0,0,100,0,0,38.03036,-112.53073,"Iron"
"SR-201 @ I-80",NA,NA,0,0,0,100,0,0,40.723,-112.226,"Tooele"
"SR-210 @ POWERHOUSE",2024-02-08 15:00:00,2024-02-09 16:50:00,0.73,18.8,25.83,27.56,62.18,10.26,40.571,-111.744,"Salt Lake"
"SR-210 @ WHITE PINE",NA,NA,0,0,0,100,0,0,40.57605,-111.6819,"Salt Lake"
"SR-224 @ MEADOWS DRIVE",NA,NA,0,0,0,100,0,0,40.676,-111.521,"Summit"
"SR-224 @ MP 3 ONTARIO MINE",NA,NA,0,0,0,100,0,0,40.6253,-111.4968,"Summit"
"SR-24 @ WAYNE SUMMIT",NA,NA,0,0,0,100,0,0,38.453,-111.831,"Wayne"
"SR-248",NA,NA,0,0,0,100,0,0,40.634,-111.385,"Wasatch"
