"SITE","EventStartSampleTime","EventEndSampleTime","AverageIndex","StormEventIndex","StormEventDurationHours","exceptional","acceptable","unacceptable","LATITUDE","LONGITUDE","COUNTY"
"SR-92 @ MP 12 AMERICAN FORK CANYON",NA,NA,0,0,0,100,0,0,40.45094,-111.6679,"Utah"
"SR-95 @ SALVATION KNOLL",2024-03-03 01:20:00,2024-03-03 09:30:00,0.3,2.44,8.17,12,48,40,37.565,-109.819,"San Juan"
"US-189 @ CHARLESTON",2024-03-02 14:40:00,2024-03-03 13:00:00,0.37,8.3,22.33,17.78,82.22,0,40.456,-111.471,"Wasatch"
"US-189 @ DEER CREEK DAM",NA,NA,0,0,0,100,0,0,40.405,-111.527,"Wasatch"
"US-189 @ LOWER PROVO CANYON",2024-03-02 14:50:00,2024-03-03 19:40:00,0.14,3.95,28.83,22.41,75.86,1.72,40.328,-111.639,"Utah"
"US-189 PROVO CANYON",2024-03-02 14:30:00,2024-03-03 19:50:00,0.31,9.03,29.33,31.07,64.41,4.52,40.334,-111.613,"Utah"
"US-191 @ INDIAN CANYON SUMMIT",NA,NA,0,0,0,100,0,0,39.886,-110.748,"Duchesne"
"US-191 @ MONTICELLO",2024-03-03 01:00:00,2024-03-03 06:30:00,0.44,2.41,5.5,8.82,79.41,11.76,37.756,-109.398,"San Juan"
"US-191 @ MP 104 FLAT IRON",2024-03-02 22:50:00,2024-03-03 04:50:00,0.16,0.95,6,0,67.57,32.43,38.318,-109.4175,"San Juan"
"US-191 @ MP 377 BASSETT SPRING",2024-03-02 11:50:00,2024-03-03 13:40:00,1.04,26.9,25.83,9.03,54.84,36.13,40.724,-109.4688,"Uinta"
"US-191 @ MP 386 WILLIE SPRING",2024-03-02 11:20:00,2024-03-03 16:30:00,1.12,32.66,29.17,20.45,52.27,27.27,40.8539,-109.46205,"Uinta"
"US-40 @ DANIELS SUMMIT",NA,NA,0,0,0,100,0,0,40.303,-111.258,"Wasatch"
